name,description,who_add,twogis_nav,google_nav,yandex_nav,photo,coordinates,time_to_visit,price,working_hours,number_of_reviews_in_gm,average_gm_rating,number_of_ta_reviews,average_ta_rating,architectural_structure,natural_beauty,religious_object,museum_exhibition,park_square,art_object,little_know_place,party,entertainment_place,_,history,classical_art,contemporary_art,music,movie,literature,technologies,religion,sport,fashion,photos
"Дом компании ""Зингер""","Здание является ярким образцом петербургского модерна. В нем располагается книжный магазин. Здесь собираются все городские любители литературы. В начале XX века место принадлежало американской компании «Зингер», которая планировала возвести высотное здание и разместить в нем офис",Аркадий,https://2gis.ru/spb/firm/5348553838893297,https://goo.gl/maps/v9hwNFgMBVN254by6,https://yandex.ru/maps/-/CCUafOQklB,19,"59.935740, 30.325781",60,1700,9:00-21:00,27000,4.7,268,4.5,+,-,-,-,-,-,-,-,-,,-,-,-,-,-,+,-,-,-,-,-
Лофт Проект Этажи,"Торгово-выставочный центр в Санкт-Петербурге, первый и самый известный такого рода комплекс в Санкт-Петербурге, функционирующий в лофте - бывшем фабричном помещении. Самоназвание - «Лофт Проект Этажи». На площадях лофта размещено несколько выставочных пространств и художественных галерей, часть площадей сдаётся в аренду магазинам и кафе, также на территории комплекса расположена гостиница.",IVAN,https://2gis.ru/spb/firm/5348552838528875,https://goo.gl/maps/aMSH3rukHZUZz5kMA,https://yandex.ru/maps/-/CCUafOUQ-C,35,"59.922091314735674, 30.355216554523018",120,0,9:00-23:00,15200,4.3,390,4,-,-,-,+,-,+,+,-,+,,-,-,+,+,-,-,-,-,-,+,+
"Государственный музей-заповедник ""Петергоф""","Бывшая императорская загородная резиденция, которую основал Петр Великий в начале XVIII столетия. Этот грандиозный дворцово-парковый ансамбль называют «русским Версалем». За три столетия существования облик Петергофа достаточно сильно изменился, а после Войны 1941-1945 гг. его восстановили буквально из обломков. На территории комплекса располагаются десятки фонтанов, цветники, прогулочные аллеи и павильоны, которые напоминают об имперской эпохе российской истории.
",IVAN,https://2gis.ru/spb/firm/5348552838593498,https://goo.gl/maps/rLNqew2sbMr64fk56,https://yandex.ru/maps/-/CCUafOUzkA,26,"59.87988753143034, 29.905481111478625",360,1200,10:09-19:00,69219,4.8,2286,4.5,+,-,-,+,+,-,-,-,-,,+,+,-,-,-,-,-,-,-,-,+
Большой Екатерининский дворец,"Дворцовый комплекс располагается в окрестностях Петербурга в г. Пушкин. До начала XX века он назывался Большой Царскосельский дворец. Первый царский дом возник здесь в первой половине XVIII столетия. Расширение началось в 1750-хх гг. во время правления Елизаветы под руководством архитектора Растрелли. Дворец возводился в стиле классического барокко, в пышных внутренних интерьерах преобладают элементы рококо.",IVAN,https://2gis.ru/spb/firm/70000001007313689/,https://goo.gl/maps/hfyYX25W4LSoqT526,https://yandex.ru/maps/-/CCUafOae3D,27,"59.72841316805581, 30.41419257654125",180,1500,10:00-19:00,25460,4.8,8604,4.5,+,-,-,+,-,-,-,-,-,,+,+,-,-,-,-,-,-,-,-,+
Домик Петра I,"Первое жилое здание Санкт-Петербурга начала XVIII столетия, где обитал император во время строительства города. В настоящий момент деревянное строение перенесено в другое место и покрыто каменным «футляром» для лучшей сохранности (первый каркас появился еще в конце XVIII века). По легенде дом был возведен всего за три дня руками искусных плотников. С 1930 года на территории работает музей, где можно увидеть личные вещи царя.",IVAN,https://2gis.ru/spb/firm/5348552838624668,https://goo.gl/maps/HxBHCHtnorSzf5C76,https://yandex.ru/maps/-/CCUafOa9PB,28,"59.953515294961406, 30.33146795886801",120,300,10:00-18:00,4349,4.7,164,4.5,-,-,-,+,-,-,+,-,-,,+,+,-,-,-,-,-,-,-,-,-
Порт «Севкабель»,"Новое культурное пространства, которое пользуется огромной популярностью у жителей города. Каждое помещение здесь соответствует морской стилистике пространства. Набережная словно создана специально для того, чтобы вы сидели и любовались Финским заливом, а если захотите перекусить, то сможете легко это сделать в одном из множества местных заведений.",IVAN,https://2gis.ru/spb/firm/70000001029313393,https://g.page/sevcableport?share,https://yandex.ru/maps/-/CCUafOeecC,29,"59.92419703470043, 30.24128539421191",90,0,00:00-24:00,14479,4.6,69,4,-,-,-,-,-,+,+,-,+,,-,-,+,-,-,-,-,-,-,+,-
Подписные издания,"Один из самых старых книжных магазинов города подходит не только для покупки книг на любой вкус. Здесь прекрасно все — возможность заказать кофе и насладиться им за чтением журнала с ближайшей полки, удобные места для чтения, домашняя атмосфера и отзывчивый персонал. Если хотите прочувствовать атмосферу уютно Петербурга, то обязательно загляните в «Подписные издания».",IVAN,https://2gis.ru/spb/firm/5348552838770888,https://goo.gl/maps/8VehQkB2jHwZF6db8,https://yandex.ru/maps/-/CCUafOeP8C,30,"59.93488641210581, 30.34782222514255",60,0,10:00-22:00,4856,4.9,44,5,-,-,-,-,-,+,+,-,-,,-,-,-,-,-,+,-,-,-,-,-
Буддийский храм «Дацан Гунзэчойнэй»,"«Дацан Гунзэчойнэй» был построен в начале XX века. Строительством занимался архитектор, построивший знаменитый Елисеевский магазин — Барановский. Для того чтобы Дацан был построен с учетом всех канонов, архитектора консультировали востоковеды и специалисты по буддизму.Вы можете прийти к храму и полюбоваться его витражами, которые выполнены по эскизам Николая Рериха. Здесь же можно попробовать вкусные блюда этнической кухни и на короткое время перенестись из Петербурга в одну из восточных стран.",IVAN,https://2gis.ru/spb/firm/5348552838725535,https://goo.gl/maps/o6ajU6F3HfdDesPh7,https://yandex.ru/maps/-/CCUIj8Gy0C,31,"59.989757843936104, 30.2559385",90,0,10:00-19:00,3528,4.9,222,4.5,+,-,+,-,-,-,+,-,-,,-,-,-,-,-,-,-,+,-,-,-
Газпром Арена,"«Газпром Арена» — футбольный стадион в Санкт-Петербурге. Расположен на Крестовском острове, на месте снесённого стадиона имени С. М. Кирова. Автор проекта «Газпром Арены» — японский архитектор Кисё Курокава. Строительство стадиона началось в 2007 году. Официально объект введён в эксплуатацию 29 декабря 2016 года. Каждый болельщик хочет увидеть, где именно его любимая команда «Зенит» готовится к игре, как выглядит шкафчик Артёма Дзюбы и мечтает пройти по тоннелю, через который футболисты выходят на игру. «Газпром Арена» предоставляет всем желающим возможность стать участниками экскурсии по стадиону.",IVAN,https://2gis.ru/spb/firm/70000001027604312/,https://g.page/gazpromarena?share,https://yandex.ru/maps/-/CCUafOqDgC,32,"59.97282193645389, 30.2214581426527",120,1000,00:00-24:00,32700,4.6,149,4.5,-,-,-,+,-,-,-,-,+,,-,-,+,-,-,-,+,-,+,-,-
Ледовый дворец,"Ледовый дворец — спортивно-концертный комплекс в Санкт-Петербурге, рассчитанный на 12 300 зрителей, предназначенный для проведения спортивных состязаний, музыкальных концертов, выставок, конференций и других мероприятий, поскольку зал имеет возможность трансформации под конкретные нужды.",IVAN,https://2gis.ru/n_novgorod/firm/2674540559730269,https://goo.gl/maps/6imdpThZCmNwzc2p7,https://yandex.ru/maps/-/CCUafOuyxC,33,"59.92135558241424, 30.467171284980257",60,500,11:00-21:00,12173,4.7,94,4.5,-,-,-,-,-,-,-,-,+,,-,-,-,-,-,-,-,-,+,-,-
Гейзеры Корпиково,"Неподалеку от Гатчины в лесопарковом массиве близ деревни Корпиково из-под земли бьют струи воды. Эти фонтаны называют «гатчинскими гейзерами». Причина появления этих необычных рукотворных источников покрыта тайной. Высота их струй может достигать полутора метров. Зимой от брызг и потоков воды образуются ледяные фигуры красивого зеленого оттенка. В любое время года можно совершить прогулку по лесу, полюбоваться живописной речкой Парицей и сделать эффектные фото у лесных фонтанчиков.",IVAN,https://2gis.ru/spb/geo/5348647327760646,https://goo.gl/maps/gQZsQH5WmNaVGsDa9,https://yandex.ru/maps/-/CCUafOBECA,34,"59.58470229315878, 30.008255936666217",120,0,00:00-24:00,224,4.2,13,4,-,+,-,-,+,-,+,-,-,,-,-,-,-,-,-,-,-,-,-,+
Пространство К-30,"K-30 — контейнерный музыкальный двор в гавани Васильевского острова. Уличное кафе, рекорд-шоп, набережная, костёр, пинг-понг и бильярд. В любую погоду и почти каждый день.",,https://2gis.ru/spb/firm/70000001052079835,https://goo.gl/maps/r4y1eGUh6yydKi2L8,https://yandex.ru/maps/-/CCUir8WIhA,36,,120,,,132,3.9,0,0,-,-,-,-,-,+,+,-,+,,-,-,+,+,-,-,-,-,-,-,-
Kuznya House,"После полуночи в главном зале ресторана убирают столы и стулья, и он превращается в клуб, где каждые выходные проходят вечеринки. Музыкальную программу курирует музыкант и диджей Кирилл Сергеев (Kito Jempere) — в ней есть как крупные иностранные привозы, так и заметные электронщики из Петербурга и Москвы. В ресторане работает тайная комната Hidden со специальным меню, здесь устраивают гастрономические вечера с шеф-поварами и другими гостями.",3,https://go.2gis.com/8loax3,https://g.page/kuznyahouse?share,https://yandex.ru/maps/-/CCUir8wBCA,37,,120,,,1034,4.2,169,3.5,-,-,-,-,-,-,-,+,+,,-,-,-,+,-,-,-,-,-,-,-
Двор культуры,"Бар с танцевальной площадкой на Казанской улице. «Двор культуры» сочетает в себе формат бара и клуба. В залы ведет коридор, оформленный под грузовой контейнер, а стены украшают граффити. Само пространство поделили на две зоны: лаунж-бар с кальянами и танцевальную площадку. Из музыкальных направлений ориентируются на хип-хоп, джаз, соул и фанк.",,https://go.2gis.com/rykptg,https://goo.gl/maps/59aJayoCwoyJY4J1A,https://yandex.ru/maps/-/CCUir8sfHD,38,,120,,,0,0,0,0,-,-,-,-,-,+,+,+,+,,-,-,+,+,-,-,-,-,-,-,-
Танцплощадка,"Клуб от участников группы «СПБЧ» на Конюшенной площади. «Танцплощадка» располагается в самой глубине двора и занимает большое помещение с высокими сводчатыми потолками, длинной барной стойкой, антикварной мебелью и обилием зеленых растений.По выходным проходят ивенты с диджей-сетами, пинг-понгом и баскетболом.",,https://go.2gis.com/rpeph,https://goo.gl/maps/Z1UdFkooFH84gtGy9,https://yandex.ru/maps/-/CCUir8wTwB,39,,120,,,212,3.9,21,3.5,-,-,-,-,-,-,-,+,+,,-,-,-,+,-,-,-,-,-,-,-
Кружок,"Двухуровневый клуб на Конюшенной площади. В «Кружке» совместили два бара: коктейльный и рюмочную. По пятницам и субботам в клубе играют приглашенные диджеи: в основном звучит хаус, синти-поп, электропоп.",,https://go.2gis.com/1t7cz,https://goo.gl/maps/rS8PwdWGT7UuwciX6,https://yandex.ru/maps/-/CCUir8DqdD,40,,120,,,77,4.0,0,0,-,-,-,-,-,+,+,+,+,,-,-,-,+,-,-,-,-,-,-,-
Third Place,"Цель владельцев Третьего места — познакомить людей разных возрастов с современным искусством и объединить их вокруг него. Поэтому в Third Place много арт-объектов талантливых, но малоизвестных современных художников. Сейчас в пространстве проводятся творческие занятия для детей, лекции для взрослых и кинопоказы фильмов об искусстве. К лету после реставрации открылся двор, в котором играет музыка и проводятся общественные мероприятия.",,https://go.2gis.com/sjpht,https://goo.gl/maps/8niMcPdhEe27TkNB7,https://yandex.ru/maps/-/CCUir8HJHC,41,,120,,,39,4.7,0,0,-,-,-,-,-,+,+,-,+,,-,-,+,+,-,+,-,-,-,+,-
Бертгольд Центр,"Бертгольд Центр —многофункциональный проект, нацеленный на популяризацию креативного бизнеса и развитие культурной составляющей жизни города. Дополняя жизнь центра событийной программой, проект стремится объединить различные сферы креативной индустрии. Команда Бертгольд Центра создаёт максимально комфортную инфраструктуру для своих резидентов и разноплановое место для жителей и гостей города, а также реализует идеи организаторов событий и городских активистов. Синергия трёх составляющих вкупе с современным дизайном делает Бертгольд Центр интересным местом для посещения.",,https://go.2gis.com/3wuea,https://goo.gl/maps/dnBTedtdSX3wVEps9,https://yandex.ru/maps/-/CCUir8TIGC,42,,150,,,2873,4.7,0,0,-,-,-,+,-,-,-,-,+,,-,-,+,+,-,+,-,-,-,+,-
Санта Барбара,"Santa Barbara Club - флагман ночной жизни Петербурга, где каждые выходные отдыхает искушенная публика, которая хвалит клуб за его насыщенную программу, атмосферу и разноформатные залы:вместительный танцпол в формате актуального коммерческого звучания, двухуровневая терраса на втором этаже клуба, атмосферное пространство со сценической акустикой и профессиональными вокалистами.",,https://go.2gis.com/m16v5,https://goo.gl/maps/3hcuwyh92MmuATj58,https://yandex.ru/maps/-/CCUir8TSpA,43,,180,,,431,4.0,56,2.5,-,-,-,-,-,-,-,+,-,,-,-,-,+,-,-,-,-,-,+,-
